Date,Close,Open,High,Low,Volume
01/07/1991,136.85,136.64,138.62,136.56,-
02/07/1991,135.96,135.91,135.96,135.69,-
03/07/1991,135.27,135.28,135.96,134.98,-
04/07/1991,136.63,136.63,136.63,134.19,-
05/07/1991,135.96,136.01,137.68,135.9,-
08/07/1991,135.28,135.26,135.28,134.93,-
09/07/1991,134.64,136.56,136.57,134.31,-
10/07/1991,133.99,134.4,135.6,133.72,-
11/07/1991,133.38,133.22,133.99,133.13,-
12/07/1991,132.8,132.8,133.38,132.42,-
15/07/1991,133.14,133.9,134.1,131.87,-
16/07/1991,134.47,134.39,134.47,133.14,-
17/07/1991,135.81,135.81,135.81,135.39,-
18/07/1991,137.17,137.17,137.17,135.81,-
19/07/1991,136.7,137.66,138.54,136.66,-
22/07/1991,138.07,138.07,138.07,136.7,-
23/07/1991,139.39,139.35,139.39,138.07,-
24/07/1991,140.68,140.66,140.74,138.69,-
25/07/1991,140.19,140.2,141.01,139.99,-
26/07/1991,140.66,140.11,141.46,139.27,-
29/07/1991,141.52,141.22,141.72,140.81,-
30/07/1991,142.39,142.39,142.45,141.39,-
31/07/1991,143.8,143.72,143.8,142.39,-
01/08/1991,145.24,145.12,145.24,143.8,-
02/08/1991,146.68,146.49,146.68,145.44,-
05/08/1991,148.15,148.06,148.15,146.68,-
06/08/1991,149.62,149.62,149.62,148.15,-
07/08/1991,151.12,150.93,151.12,149.62,-
08/08/1991,152.61,152.57,152.61,151.12,-
09/08/1991,154.1,153.9,154.1,152.61,-
12/08/1991,155.54,155.34,155.54,154.1,-
13/08/1991,157.07,156.87,157.07,155.54,-
14/08/1991,158.63,158.3,158.63,158.11,-
15/08/1991,160.21,159.92,160.21,158.63,-
16/08/1991,161.6,161.56,161.6,160.21,-
19/08/1991,163.21,163.21,163.21,161.6,-
20/08/1991,164.84,164.74,164.84,163.21,-
21/08/1991,166.49,166.49,166.49,164.84,-
22/08/1991,168.16,167.81,168.16,166.49,-
23/08/1991,169.81,169.81,169.81,168.16,-
26/08/1991,171.51,171.51,171.51,169.81,-
27/08/1991,173.19,173.06,173.19,171.51,-
28/08/1991,174.92,174.82,174.92,173.19,-
29/08/1991,176.66,176.53,176.66,174.92,-
30/08/1991,178.43,178.2,178.43,176.66,-
02/09/1991,180.22,180.08,180.22,178.43,-
03/09/1991,181.97,181.71,181.97,180.22,-
04/09/1991,183.69,183.66,183.69,181.97,-
05/09/1991,185.51,185.48,185.51,183.69,-
06/09/1991,187.36,187.09,187.36,185.51,-
09/09/1991,189.24,189.1,189.24,187.36,-
10/09/1991,188.33,190.98,190.98,188.19,-
11/09/1991,187.22,187.29,187.29,186.86,-
12/09/1991,186.22,186.22,187.4,186.07,-
13/09/1991,187.79,188,188.04,185.01,-
16/09/1991,189.66,189.55,189.66,187.79,-
17/09/1991,188.65,191.16,191.18,188.28,-
18/09/1991,187.63,187.26,188.59,187.18,-
19/09/1991,186.88,187.65,189.21,186.49,-
20/09/1991,185.92,185.77,187.21,185.66,-
23/09/1991,185,185,185.92,184.71,-
24/09/1991,184.08,183.96,185.04,183.69,-
25/09/1991,183.19,182.8,184.08,182.8,-
26/09/1991,182.33,182.21,183.19,181.93,-
27/09/1991,181.82,183.12,183.89,181.19,-
30/09/1991,180.92,180.28,181.95,180.27,-
03/10/1991,182.48,181.55,182.48,179.8,-
04/10/1991,184.29,184.29,184.29,183.59,-
07/10/1991,186,185.95,186,185.41,-
08/10/1991,187.49,187.59,187.61,186,-
09/10/1991,189.12,188.49,189.12,186.31,-
10/10/1991,191.01,190.71,191.01,189.12,-
11/10/1991,192.85,192.84,192.88,191.01,-
14/10/1991,194.67,194.06,194.69,192.32,-
15/10/1991,196.61,196.58,196.61,194.67,-
16/10/1991,198.57,198.51,198.57,196.61,-
17/10/1991,200.51,200.5,200.51,198.57,-
18/10/1991,202.51,202.5,202.51,200.51,-
21/10/1991,204.53,204.53,204.53,202.51,-
22/10/1991,206.53,206.06,206.53,204.53,-
23/10/1991,208.25,208.06,208.25,206.53,-
24/10/1991,210.07,210.2,210.2,208.25,-
25/10/1991,211.86,210.34,211.97,209.71,-
28/10/1991,213.98,213.5,213.98,211.86,-
29/10/1991,215.78,215.63,215.78,213.98,-
30/10/1991,216.43,216.37,216.43,215.78,-
31/10/1991,218.6,218.59,218.6,216.43,-
01/11/1991,220.72,220.71,220.72,218.6,-
04/11/1991,222.77,222.77,222.77,220.79,-
05/11/1991,224.65,224.44,224.65,222.77,-
06/11/1991,226.88,226.83,226.88,224.65,-
07/11/1991,228.93,228.93,228.93,226.88,-
08/11/1991,231.22,230.99,231.22,228.93,-
11/11/1991,233.55,233.48,233.55,231.22,-
12/11/1991,235.8,235.75,235.8,233.55,-
13/11/1991,236.67,236.51,236.67,235.8,-
14/11/1991,237.45,237.39,237.45,236.67,-
15/11/1991,238.25,238.25,238.25,237.45,-
18/11/1991,240.62,240.04,240.62,238.25,-
19/11/1991,242.24,242.24,242.24,240.62,-
