Date, Chemicals,Coal,Petrol,Vehicles
Jan-1971, 3.896,49.780, 2.154, 4.367
Feb-1971, 4.346,47.029, 2.250, 5.147
Mar-1971, 4.318,56.920, 2.165, 5.418
Apr-1971, 4.536,54.336, 2.223, 4.897
May-1971, 4.454,50.442, 2.190, 5.002
Jun-1971, 4.554,49.298, 2.288, 5.329
Jul-1971, 4.058,39.537, 2.250, 3.537
Aug-1971, 4.342,56.185, 2.251, 3.940
Sep-1971, 4.693,54.449, 2.281, 5.226
Oct-1971, 4.389,11.857, 2.320, 5.429
Nov-1971, 4.289,26.327, 2.285, 5.400
Dec-1971, 3.997,56.032, 2.279, 4.446
Jan-1972, 4.353,49.680, 2.319, 5.072
Feb-1972, 4.609,49.112, 2.396, 5.707
Mar-1972, 4.794,54.438, 2.397, 5.760
Apr-1972, 4.975,49.814, 2.462, 5.807
May-1972, 4.859,52.879, 2.368, 5.865
Jun-1972, 5.027,50.083, 2.505, 5.909
Jul-1972, 4.382,40.964, 2.490, 3.681
Aug-1972, 4.798,52.169, 2.553, 3.895
Sep-1972, 5.076,49.374, 2.611, 6.247
Oct-1972, 4.979,51.671, 2.528, 6.629
Nov-1972, 4.845,50.297, 2.618, 6.670
Dec-1972, 4.740,44.904, 2.685, 5.520
Jan-1973, 4.885,49.379, 2.649, 6.710
Feb-1973, 5.579,45.893, 2.723, 7.134
Mar-1973, 5.741,50.547, 2.675, 7.097
Apr-1973, 5.910,46.999, 2.723, 6.741
May-1973, 5.784,51.420, 2.781, 7.006
Jun-1973, 5.962,46.613, 2.953, 7.169
Jul-1973, 5.152,43.801, 2.919, 5.419
Aug-1973, 5.536,55.874, 3.017, 4.667
Sep-1973, 5.769,48.338, 3.121, 6.227
Oct-1973, 5.643,54.380, 3.135, 7.314
Nov-1973, 5.610,49.825, 3.425, 6.928
Dec-1973, 5.463,48.668, 3.694, 4.866
Jan-1974, 5.685,53.530, 3.742, 5.611
Feb-1974, 6.452,49.851, 4.173, 5.762
Mar-1974, 6.729,51.027, 4.374, 5.638
Apr-1974, 7.094,54.181, 4.499, 5.891
May-1974, 6.987,57.448, 4.725, 6.229
Jun-1974, 7.158,47.884, 4.983, 6.485
Jul-1974, 6.580,49.206, 5.068, 5.169
Aug-1974, 7.026,51.604, 5.104, 5.236
Sep-1974, 7.556,52.472, 5.056, 6.921
Oct-1974, 7.201,60.293, 5.042, 7.703
Nov-1974, 6.791,33.524, 5.116, 6.985
Dec-1974, 6.118,39.980, 4.970, 4.490
Jan-1975, 6.702,55.167, 5.108, 4.816
Feb-1975, 7.376,51.808, 5.266, 5.254
Mar-1975, 7.609,52.603, 5.166, 5.589
Apr-1975, 7.829,53.776, 5.294, 6.004
May-1975, 7.558,55.921, 5.313, 6.037
Jun-1975, 7.620,56.786, 5.749, 6.439
Jul-1975, 6.923,45.960, 5.825, 4.820
Aug-1975, 7.607,51.760, 6.317, 5.180
Sep-1975, 8.003,56.066, 6.213, 6.589
Oct-1975, 7.838,60.396, 6.281, 6.886
Nov-1975, 7.375,53.976, 6.426, 6.531
Dec-1975, 7.282,54.819, 6.526, 5.888
Jan-1976, 7.615,52.568, 6.441, 6.765
Feb-1976, 8.530,53.773, 6.757, 7.675
Mar-1976, 9.107,60.918, 6.422, 8.295
Apr-1976, 9.358,59.145, 6.647, 8.194
May-1976, 8.882,57.934, 6.534, 8.256
Jun-1976, 9.011,59.680, 6.925, 9.056
Jul-1976, 8.003,44.318, 6.957, 6.573
Aug-1976, 8.621,53.622, 7.057, 7.162
Sep-1976, 9.324,60.634, 7.054, 7.978
Oct-1976, 8.900,58.999, 7.044, 8.005
Nov-1976, 8.650,58.780, 7.087, 9.185
Dec-1976, 8.141,58.414, 7.422, 8.236
Jan-1977, 8.314,44.679, 7.676, 8.726
Feb-1977, 9.509,49.260, 7.871, 9.364
Mar-1977,10.264,66.776, 7.608,10.777
Apr-1977,10.105,60.549, 7.755,10.081
May-1977, 9.844,62.499, 7.757,10.112
Jun-1977, 9.930,63.095, 7.964,11.035
Jul-1977, 8.669,49.584, 8.087, 8.554
Aug-1977, 9.465,57.751, 8.083, 7.826
Sep-1977,10.055,69.510, 8.077,10.229
Oct-1977, 9.400,67.660, 8.295,11.419
Nov-1977, 9.175,68.979, 8.137,10.501
Dec-1977, 9.161,31.002, 8.346, 9.134
Jan-1978, 9.366,23.115, 8.005, 9.070
Feb-1978,10.309,23.520, 8.151,10.600
Mar-1978,11.010,38.765, 8.019,11.641
Apr-1978,11.434,59.530, 8.207,11.920
May-1978,10.841,68.760, 8.273,11.780
Jun-1978,11.161,65.565, 8.721,12.035
Jul-1978, 9.605,53.640, 8.719, 8.645
Aug-1978,10.241,64.395, 8.925, 9.141
Sep-1978,10.914,57.775, 9.110,11.290
Oct-1978,10.704,69.860, 8.899,12.987
Nov-1978,10.435,69.245, 9.074,12.532
Dec-1978,10.425,59.630, 9.464,10.566
Jan-1979,11.117,57.451, 9.736,11.891
Feb-1979,11.701,54.525,10.320,12.956
Mar-1979,13.268,66.379,10.790,13.669
Apr-1979,12.370,63.531,10.675,11.881
May-1979,12.952,69.058,11.403,13.167
Jun-1979,13.059,70.287,12.041,11.738
Jul-1979,11.540,53.252,12.375, 8.484
Aug-1979,11.954,71.181,13.378, 7.283
Sep-1979,12.840,64.189,14.004,10.483
Oct-1979,12.429,78.070,13.881,11.644
Nov-1979,12.205,68.037,14.469,10.048
Dec-1979,12.241,60.339,15.296, 8.134
Jan-1980,12.948,69.105,15.696, 8.808
Feb-1980,13.641,65.180,16.522,10.054
Mar-1980,14.682,70.473,16.554, 9.921
Apr-1980,13.982,69.135,16.039, 8.850
May-1980,13.213,70.531,16.394, 7.780
Jun-1980,13.338,70.830,16.693, 7.856
Jul-1980,11.830,60.656,15.875, 6.102
Aug-1980,12.802,67.890,16.218, 6.416
Sep-1980,14.276,68.344,16.254, 9.469
Oct-1980,13.986,71.723,16.818,11.073
Nov-1980,13.362,68.130,17.647, 9.935
Dec-1980,14.457,71.647,17.963, 8.296
Jan-1981,14.415,65.622,19.128, 8.340
Feb-1981,15.125,70.446,19.425, 9.406
Mar-1981,16.638,77.718,18.351,10.862
Apr-1981,15.765,35.816,18.024,11.119
May-1981,15.565,37.829,18.629,11.430
Jun-1981,16.140,61.083,19.015,12.158
Jul-1981,14.063,73.510,18.306, 8.390
Aug-1981,14.738,78.248,18.988, 8.530
Sep-1981,15.743,81.303,18.577, 9.579
Oct-1981,14.310,84.784,18.853,10.511
Nov-1981,13.822,76.027,18.366, 9.140
Dec-1981,14.133,75.966,18.470, 7.516
Jan-1982,13.833,66.443,17.685, 7.148
Feb-1982,14.861,70.344,16.917, 8.727
Mar-1982,15.806,82.932,15.878,10.142
Apr-1982,15.132,73.155,16.553,10.538
May-1982,15.237,70.656,17.669,10.931
Jun-1982,15.514,71.231,18.161,11.624
Jul-1982,13.098,59.868,17.721, 8.605
Aug-1982,14.102,72.091,17.377, 8.690
Sep-1982,14.948,67.203,17.824,10.024
Oct-1982,13.269,70.068,17.473, 9.432
Nov-1982,13.284,63.043,16.793, 8.622
Dec-1982,13.719,62.177,16.379, 7.694
